datetime,PM2.5(t),target,pred,abs_err,TEMP,Iws,cbwd
2014-04-09 19:00:00,80.0,580.0,80.0,500.0,24.0,7.15,SE
2014-04-09 20:00:00,580.0,217.0,580.0,363.0,22.0,12.96,SE
2014-01-31 00:00:00,137.0,469.0,137.0,332.0,-1.0,39.79,SE
2014-01-17 23:00:00,296.0,38.0,296.0,258.0,3.0,49.6,NW
2014-02-26 17:00:00,446.0,188.0,446.0,258.0,9.0,4.92,NW
2014-12-15 06:00:00,269.0,47.0,269.0,222.0,-4.0,0.89,cv
2014-05-16 09:00:00,271.0,50.0,271.0,221.0,25.0,11.17,NE
2014-05-16 08:00:00,57.0,271.0,57.0,214.0,23.0,4.02,NE
2014-02-15 01:00:00,649.0,457.0,649.0,192.0,-5.0,0.89,cv
2014-01-15 17:00:00,88.0,279.0,88.0,191.0,2.0,1.79,SE
2014-03-27 13:00:00,306.0,115.0,306.0,191.0,15.0,19.21,SE
2014-11-27 02:00:00,362.0,176.0,362.0,186.0,2.0,7.15,NW
